horizon_bars,horizon_label,horizon_minutes,n_push_response_pairs,response_curve_slope,signed_conditional_response,pr_signal
1,5 min,5,380474,-0.016743753807609958,-0.007640432521790904,mean-reverting
2,10 min,10,190234,-0.014702358995721128,-0.008387826410292459,mean-reverting
3,15 min,15,126819,-0.0008736557728159754,0.0005947184014446344,no clear
6,30 min,30,63413,0.008606188506051814,0.0035073053439130123,no clear
12,1.0 hr,60,31704,-0.006295384664080855,0.0070136004849496855,no clear
24,2.0 hr,120,15850,-0.0024418654975890356,9.82279129281115e-05,no clear
48,4.0 hr,240,7923,0.012044279053051594,0.019778821444034794,trend-following
96,8.0 hr,480,3960,-0.013681328412379313,-0.005272791740192564,mean-reverting
192,16.0 hr,960,1980,-0.04015343015414821,-0.02885715826198765,mean-reverting
