base_bars,base_label,q_multiple,horizon_bars,horizon_label,horizon_minutes,variance_ratio,vr_curve_change,vr_signal
1,5 min,1,1,5 min,5,1.0,,baseline
1,5 min,2,2,10 min,10,0.9959531591135455,-0.004046840886454461,no clear
1,5 min,3,3,15 min,15,0.9922290070247543,-0.0037241520887912882,no clear
1,5 min,4,4,20 min,20,0.9919581006858569,-0.0002709063388973698,no clear
1,5 min,6,6,30 min,30,0.990513594771067,-0.0014445059147898398,no clear
1,5 min,8,8,40 min,40,0.9886669071426067,-0.0018466876284602973,no clear
1,5 min,12,12,1.0 hr,60,0.986143632897545,-0.002523274245061713,no clear
1,5 min,16,16,1.3 hr,80,0.9841439428141672,-0.0019996900833778586,no clear
1,5 min,24,24,2.0 hr,120,0.9724763008293048,-0.011667641984862365,mean-reverting
1,5 min,32,32,2.7 hr,160,0.963799157529558,-0.008677143299746781,no clear
1,5 min,48,48,4.0 hr,240,0.959331392796895,-0.004467764732662971,no clear
1,5 min,64,64,5.3 hr,320,0.9631083531240217,0.0037769603271265995,no clear
1,5 min,96,96,8.0 hr,480,0.964251128954126,0.001142775830104359,no clear
1,5 min,192,192,16.0 hr,960,0.9427615239703073,-0.02148960498381869,mean-reverting
6,30 min,1,6,30 min,30,1.0,,baseline
6,30 min,2,12,1.0 hr,60,0.9955881858698447,-0.004411814130155345,no clear
6,30 min,3,18,1.5 hr,90,0.9903621583931583,-0.0052260274766863235,no clear
6,30 min,4,24,2.0 hr,120,0.9817899582227025,-0.00857220017045579,no clear
6,30 min,6,36,3.0 hr,180,0.9719998860739318,-0.009790072148770701,no clear
6,30 min,8,48,4.0 hr,240,0.968519158001684,-0.003480728072247863,no clear
6,30 min,12,72,6.0 hr,360,0.9736233881554047,0.005104230153720746,no clear
6,30 min,16,96,8.0 hr,480,0.9734860117462487,-0.00013737640915600924,no clear
6,30 min,24,144,12.0 hr,720,0.9689120675299735,-0.004573944216275216,no clear
6,30 min,32,192,16.0 hr,960,0.9517905952499356,-0.017121472280037908,mean-reverting
6,30 min,48,288,24.0 hr (~1.0 days),1440,0.928177460163278,-0.023613135086657633,mean-reverting
6,30 min,64,384,32.0 hr (~1.3 days),1920,0.9282378539349032,6.039377162525561e-05,no clear
6,30 min,96,576,48.0 hr (~2.0 days),2880,0.9037290033812723,-0.024508850553630945,mean-reverting
6,30 min,192,1152,96.0 hr (~4.0 days),5760,0.9433561213951343,0.039627118013861984,trend-following
12,1.0 hr,1,12,1.0 hr,60,1.0,,baseline
12,1.0 hr,2,24,2.0 hr,120,0.9861406273768841,-0.013859372623115873,mean-reverting
12,1.0 hr,3,36,3.0 hr,180,0.9763071718500719,-0.009833455526812251,no clear
12,1.0 hr,4,48,4.0 hr,240,0.9728110194030571,-0.003496152447014733,no clear
12,1.0 hr,6,72,6.0 hr,360,0.9779378682610126,0.005126848857955446,no clear
12,1.0 hr,8,96,8.0 hr,480,0.9777998830869158,-0.00013798517409679967,no clear
12,1.0 hr,12,144,12.0 hr,720,0.9732056700566768,-0.004594213030238992,no clear
12,1.0 hr,16,192,16.0 hr,960,0.9560083262924186,-0.01719734376425819,mean-reverting
12,1.0 hr,24,288,24.0 hr (~1.0 days),1440,0.9322905527975203,-0.023717773494898342,mean-reverting
12,1.0 hr,32,384,32.0 hr (~1.3 days),1920,0.9323512141959603,6.066139844007612e-05,no clear
12,1.0 hr,48,576,48.0 hr (~2.0 days),2880,0.9077337559923784,-0.024617458203581966,mean-reverting
12,1.0 hr,64,768,64.0 hr (~2.7 days),3840,0.9066851591784947,-0.0010485968138836954,no clear
12,1.0 hr,96,1152,96.0 hr (~4.0 days),5760,0.9475364762097138,0.040851317031219136,trend-following
12,1.0 hr,192,2304,192.0 hr (~8.0 days),11520,1.0556194463506674,0.10808297014095358,trend-following
