L,S,return,max_dd,return_to_dd,sharpe,trades,win_rate,avg_trade_return
3000,0.025,-57932.18499999973,-58039.31499999965,-0.9981541822125239,-4.306229766510795,821.0,0.08488462359239546,-70.5629537149814
2500,0.025,-63206.09499999975,-63313.22499999967,-0.9983079364540358,-4.534786921295416,891.0,0.09173669251205413,-70.93837822671128
2000,0.025,-71736.03250000004,-71843.16250000003,-0.9985088351309703,-4.856632563624979,1008.0,0.10341660146041387,-71.1666989087302
1500,0.025,-81548.03750000043,-81655.16750000042,-0.9986880193467242,-5.185991341037218,1155.0,0.11908465885016377,-70.60436147186184
500,0.02,-178028.41400000092,-178238.6820000009,-0.9988203009714806,-8.420434761919802,2445.0,0.1650202732167765,-72.81325725971408
500,0.025,-144289.92249999952,-144458.7074999995,-0.9988316038339193,-6.941951881214426,2005.0,0.19851669950175208,-71.96504862842869
1000,0.025,-97196.52499999983,-97303.65499999982,-0.9988990136084818,-5.677194544942734,1375.0,0.14332746734790447,-70.6883818181817
500,0.015,-228481.58000000013,-228733.33100000012,-0.9988993689774054,-10.396778612804242,3106.0,0.1288965246355924,-73.56135866065684
500,0.01,-328082.34299999947,-328375.57699999947,-0.9991070164149266,-13.685046544383983,4394.0,0.08735266737388389,-74.66598611743274
3000,0.015,-98890.0494999996,-98975.70249999959,-0.9991346057887289,-6.840464968078826,1336.0,0.05388252977580389,-74.01949812874221
