L,S,return,max_dd,return_to_dd,sharpe,trades,win_rate,avg_trade_return
500,0.005,346267.5,-8454.2,40.958045,1.8765676,4245,0.055036005,81.570671
500,0.01,399165.2,-16819.9,23.731723,1.8125365,2310,0.10706906,172.79879
500,0.015,367945.2,-15923.3,23.107346,1.4535905,1615,0.15414165,227.82985
500,0.02,341679.6,-23051.4,14.82251,1.2027434,1255,0.19820041,272.25466
500,0.025,313087,-23062.25,13.575735,1.0009544,1036,0.23494643,302.20753
1000,0.005,239789.05,-8246.85,29.076441,1.5375583,3054,0.038728033,78.516388
1000,0.01,278074,-18588.4,14.959545,1.4924149,1665,0.07683805,167.01141
1000,0.015,258459.7,-23375.3,11.056958,1.2093025,1163,0.1108316,222.23534
1000,0.02,251347.6,-32212,7.8029182,1.0476224,894,0.14288126,281.14944
1000,0.025,250321.5,-37591,6.6590806,0.93793794,728,0.17095329,343.84821
1500,0.005,206932.95,-10226.9,20.234181,1.4375503,2611,0.032490709,79.25429
1500,0.01,248239.9,-20218.4,12.27792,1.4436351,1413,0.064319843,175.68287
1500,0.015,233184.55,-27365.8,8.5210208,1.1849057,986,0.092685915,236.49549
1500,0.02,234925.8,-24368.2,9.640671,1.0628003,755,0.11944569,311.16
1500,0.025,251452,-19370.5,12.981183,1.0272865,610,0.14279414,412.21639
2000,0.005,191401,-12599.95,15.190616,1.3884593,2286,0.02819183,83.727472
2000,0.01,224026.5,-20029.4,11.184883,1.3654694,1241,0.056149522,180.52095
2000,0.015,207097.7,-22040.95,9.3960424,1.1068425,873,0.081730442,237.22532
2000,0.02,213860.4,-20731.8,10.315573,1.0216355,664,0.10503532,322.07892
2000,0.025,235693,-21717.25,10.852801,1.0157696,532,0.12615401,443.03195
2500,0.005,178376.35,-12505.1,14.264288,1.3437858,2072,0.025349505,86.088972
2500,0.01,209438.6,-18236.5,11.484583,1.3316805,1126,0.050228012,186.00231
2500,0.015,193580.5,-24468.2,7.9115137,1.0851284,792,0.071951103,244.41982
2500,0.02,202408.2,-15904,12.726874,1.0168773,602,0.093080682,336.22625
2500,0.025,210479.75,-14765.5,14.254834,0.95977178,486,0.11157485,433.08591
3000,0.005,171192.2,-11510.4,14.872828,1.3148678,1930,0.023533576,88.700622
3000,0.01,198346.4,-17920.5,11.068129,1.2910915,1052,0.046541702,188.54221
3000,0.015,187474.05,-24872.2,7.5374937,1.0778741,736,0.066704782,254.72018
3000,0.02,196904.4,-16444,11.97424,1.0158002,559,0.086366916,352.24401
3000,0.025,211905,-12401.5,17.087046,0.99411983,448,0.10306421,473.00223
